PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
5150,144208703,7833,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5151,144208704,57363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5152,144208705,5503,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5153,144208706,11957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5154,144208707,9415,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5155,144208708,6418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5156,144208709,8289,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Fisher
5157,144208710,5271566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5158,144208711,10005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5159,144208712,21531,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5160,144208713,7391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5161,144208714,16560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5162,144208715,8892,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5163,144208716,9352,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5164,144208717,8561,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
5165,144208718,169132,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5166,144208719,8341,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,8.34079,28.9306,inconclusive agonist,5.77242,23.6994,inactive,SIGMA
5167,144208720,11123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5168,144208721,7249,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5169,144208722,67172,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5170,144208723,12232,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5171,144208724,6579,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5172,144208725,896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5173,144208726,338733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
5174,144208727,8398,Inconclusive,5,,,inconclusive,inconclusive agonist,55.2167,218.827,inconclusive antagonist,49.2119,-80.2527,inconclusive,,,inactive,SigmaAldrich
5175,144208728,5281872,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5176,144208729,47326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5177,144208730,6498,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5178,144208731,31242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5179,144208732,12958,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5180,144208733,12713,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5181,144208734,525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5182,144208735,61057,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5183,144208736,23667648,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5184,144208737,16013,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5185,144208738,28777,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,29.4959,43.2393,inactive,,0,active agonist,15.5961,26.8471,inactive,Sensient
5186,144208739,24309,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5187,144208740,5280443,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inconclusive agonist,18.7459,29.1525,inactive,SigmaAldrich
5188,144208741,4133,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5189,144208742,6009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5190,144208743,7271,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,5.01187,30.3207,inactive,,0,inactive,SIGMA
5191,144208744,6529,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Fisher
5192,144208745,6167,Inconclusive,5,,,inconclusive,active agonist,0.0171721,41.402,inconclusive antagonist,,-17.8093,inactive,,0,inactive,SIGMA
5193,144208746,11167,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,SIGMA
5194,144208747,8816,Inconclusive,5,,,inconclusive,active agonist,54.938,169.433,inconclusive antagonist,44.6684,-67.4501,active antagonist,47.8525,-56.4548,inactive,TCI
5195,144208748,7104,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,23.0211,32.2125,inactive,,0,inactive,SIGMA
5196,144208749,37175,Inconclusive,5,,,inconclusive,inconclusive agonist,52.0263,72.9308,inconclusive antagonist,55.1091,-53.5884,inactive,,0,inactive,SigmaAldrich
5197,144208750,7327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5198,144208751,7642,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5199,144208752,7347,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5200,144208753,31279,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5201,144208754,6837,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5202,144208755,13246,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5203,144208756,8723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5204,144208757,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5205,144208758,15767,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5206,144208759,7991,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5207,144208760,2314,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5208,144208761,7173,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5209,144208762,5865,Active,56,,,active agonist,active agonist,0.144922,77.2381,inactive,,0,active agonist,0.0393067,68.8625,inactive,SIGMA
5210,144208763,3639,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,SigmaAldrich
5211,144208764,8419,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,SIGMA
5212,144208765,11937,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,6.28634,120.087,active agonist,44.5039,220.172,active agonist,25.0264,543.356,fluorescent,SIGMA
5213,144208766,7352,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5214,144208767,5455,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,11.0143,64.2225,inactive,,0,active agonist,9.03526,31.0466,inactive,SIGMA
5215,144208768,6423,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SIGMA
5216,144208769,12251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5217,144208770,16653,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5218,144208771,7351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5219,144208772,73672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5220,144208773,7864,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5221,144208774,10541,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5222,144208775,7969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5223,144208776,16584,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5224,144208777,7076,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5225,144208778,10707,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5226,144208779,24434,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5227,144208780,998,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
5228,144208781,8160,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,SigmaAldrich
5229,144208782,20087,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5230,144208783,8184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5231,144208784,40326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,ChemService
5232,144208785,5963,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
5233,144208786,5284441,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5234,144208787,8449,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5235,144208788,12170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5236,144208789,7418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5237,144208790,299,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inconclusive antagonist,51.0248,-73.2437,active antagonist,51.7383,-33.9313,inactive,SigmaAldrich
5238,144208791,6540,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5239,144208792,6269,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5240,144208793,3346,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5241,144208794,7451,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5242,144208795,235227,Inconclusive,5,,,inconclusive,active antagonist,0.298905,-30.0102,inactive,,0,inactive,,0,inactive,SigmaAldrich
5243,144208796,91511,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5244,144208797,62479,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5245,144208798,2206,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5246,144208799,517121,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5247,144208800,8086,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SigmaAldrich
5248,144208801,31215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5249,144208802,10430,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5250,144208803,1480,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,32.7663,29.7451,inactive,,0,inactive,SIGMA
5251,144208804,4101,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5252,144208805,5853,Inconclusive,5,,,inconclusive,inconclusive agonist,26.42,28.6653,inactive,,0,inactive,,0,inactive,SIGMA
5253,144208806,7943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5254,144208807,5694,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.1571,-45.0943,inconclusive agonist,19.4843,54.95,inactive,,0,inactive,Sensient
5255,144208808,4075,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5256,144208809,11487,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5257,144208810,5505,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5258,144208811,7443,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5259,144208812,3423265,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5260,144208813,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
5261,144208814,8117,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5262,144208815,3039,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,16.681,134.929,inactive,SigmaAldrich
5263,144208816,3090,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5264,144208817,30773,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5265,144208818,4110039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5266,144208819,516871,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5267,144208820,9275,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5268,144208821,12101,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5269,144208822,7064,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5270,144208823,20083,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5271,144208824,15096,Inconclusive,5,,,inconclusive,active agonist,15.6279,180.388,active antagonist,10.2463,-67.48,inconclusive antagonist,4.46684,-56.5907,inactive,SigmaAldrich
5272,144208825,5284363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5273,144208826,12348,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,SigmaAldrich
5274,144208827,8200,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5275,144208828,12025,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5276,144208829,43226,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5277,144208830,6421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5278,144208831,493570,Inconclusive,5,,,inconclusive,inconclusive antagonist,38.5149,-51.4679,inconclusive agonist,27.2664,60.2992,inactive,,0,inconclusive,SigmaAldrich
5279,144208832,25670,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5280,144208833,6295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5281,144208834,7447,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5282,144208835,27756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5283,144208836,995,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5284,144208837,996,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5285,144208838,11241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5286,144208839,4420,Active,46,,,active agonist,active agonist,14.4674,39.2925,inactive,,0,active agonist,17.5277,21.0528,inactive,SIGMA
5287,144208840,18752,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5288,144208841,87244,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5289,144208842,41385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5290,144208843,9740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5291,144208844,6503,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5292,144208845,7603,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5293,144208846,31362,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,SigmaAldrich
5294,144208847,15659,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5295,144208848,10009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5296,144208849,520196,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SigmaAldrich
5297,144208850,8342,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,3.54813,34.0385,inactive,,0,inconclusive,SigmaAldrich
5298,144208851,22833331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5299,144208852,8861,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
5300,144208853,24066,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5301,144208854,8371,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inconclusive agonist,,,active agonist,18.1526,53.477,inactive,SIGMA
5302,144208855,8635,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5303,144208856,6549,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5304,144208857,7489,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5305,144208858,17142,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SIGMA
5306,144208859,7040,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5307,144208860,8559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5308,144208861,6124,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5309,144208862,24685,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5310,144208863,39965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5311,144208864,78170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5312,144208865,7153,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Pfaltz-Bauer
5313,144208866,11107,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5314,144208867,79,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5315,144208868,7895,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5316,144208869,985,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5317,144208870,17317,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SigmaAldrich
5318,144208871,5755,Active,62,,,active agonist,active agonist,0.0548714,104.206,inactive,,0,active agonist,0.0548714,108.86,inactive,SIGMA
5319,144208872,24482,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5320,144208873,12688,Inconclusive,5,,,inconclusive,active agonist,39.4002,143.803,inconclusive,,,inactive,,0,inactive,SigmaAldrich
5321,144208874,37517,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5322,144208875,798,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5323,144208876,2724385,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inconclusive agonist,,,active agonist,0.0124036,39.5967,inactive,SIGMA
5324,144208877,3032791,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5325,144208878,8872,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5326,144208879,6702,Inconclusive,5,,,inconclusive,inconclusive,,,inconclusive agonist,,,inconclusive agonist,58.693,39.1443,inactive,SIGMA
5327,144208880,676454,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5328,144208881,9473,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5329,144208882,7195,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
5330,144208883,2519,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5331,144208884,9880,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5332,144208885,15910,Inconclusive,5,,,inconclusive,inconclusive antagonist,4.90709,-41.0629,inconclusive agonist,5.19786,43.3449,inactive,,0,inactive,SIGMA
5333,144208886,73670,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SigmaAldrich
5334,144208887,54677470,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5335,144208888,2734161,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5336,144208889,11529,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5337,144208890,19241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5338,144208891,7975,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
5339,144208892,17869,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5340,144208893,33286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5341,144208894,21209,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5342,144208895,8076,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5343,144208896,77703,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5344,144208897,12397,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5345,144208898,66494,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5346,144208899,8113,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inconclusive agonist,,,inactive,SIGMA
5347,144208900,978,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SIGMA
5348,144208901,6854,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5349,144208902,4684,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5350,144208903,9787,Inconclusive,5,,,inconclusive,active agonist,43.8442,50.8144,active antagonist,49.194,-50.447,inactive,,0,inconclusive,SIGMA
5351,144208904,7292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5352,144208905,7270,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5353,144208906,9074,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,3.2289,56.1259,active agonist,,39.8399,active agonist,4.95365,47.8279,inactive,TCI
5354,144208907,17038,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.524,-34.815,inconclusive agonist,,,inactive,,0,inactive,SIGMA
5355,144208908,92839,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
5356,144208909,67271,Inconclusive,5,,,inconclusive,active agonist,52.147,129.92,inconclusive antagonist,,-27.9358,inconclusive antagonist,,,inactive,Sensient
5357,144208910,3073,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,VWR
5358,144208911,24764,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5359,144208912,6966,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5360,144208913,8142,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5361,144208914,936,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5362,144208915,1133,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5363,144208916,23707968,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Interchem
5364,144208917,643460,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5365,144208918,11251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5366,144208919,62551,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5367,144208920,8813,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,SIGMA
5368,144208921,7577,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,55.1474,38.0868,inactive,,0,inactive,SIGMA
5369,144208922,9128,Active,47,,,active agonist,active agonist,51.5252,183.324,active agonist,51.052,49.1014,active agonist,53.0493,418.716,inactive,SIGMA
5370,144208923,6901,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5371,144208924,7849,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5372,144208925,5280934,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5373,144208926,7335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5374,144208927,3026,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5375,144208928,19499,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Interchem
5376,144208929,31657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5377,144208930,8437,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5378,144208931,2779938,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5379,144208932,4931,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5380,144208933,8038,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5381,144208934,76302,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5382,144208935,6998,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
